Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Hebrew(he),Hungarian(hu),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Swedish(sv),Thai(th),Turkish(tr)
settings.deleteaccount,,删除帐户,Delete Account,Supprimer le compte,Konto löschen,מחיקת חשבון,Fiók törlése,アカウントを削除,계정 삭제,Usuń konto,Excluir conta,Удалить аккаунт,Eliminar cuenta,Ta bort konto,ลบบัญชีผู้ใช้,Hesabı Sil
settings.rate,,速度,Rate,Taux,Rate,קֶצֶב,Arány,レート,비율,Wskaźnik,Avaliar,Ставка,Tasa,Hastighet,ประเมิน,Oran
settings.othergames,,其他游戏,Other Games,Autres jeux,Andere Spiele,משחקים אחרים,Egyéb játékok,その他のゲーム,다른 게임,Inne gry,Outros jogos,Другие игры,Otros juegos,Andra spel,เกมอื่นๆ,Diğer Oyunlar
English,,英语,English,Anglais,Englisch,אַנגְלִית,angol,英語,영어,angielski,Inglês,Английский,Inglés,Engelska,ภาษาอังกฤษ,İngilizce
German,,德语,German,Allemand,Deutsch,גֶרמָנִיָת,német,ドイツ語,독일 사람,niemiecki,Alemão,немецкий,Alemán,Tyska,ภาษาเยอรมัน,Almanca
French,,法语,French,Français,Französisch,צָרְפָתִית,francia,フランス語,프랑스 국민,francuski,Francês,Французский,Francés,franska,ภาษาฝรั่งเศส,Fransızca
Spanish,,西班牙语,Spanish,Espagnol,Spanisch,סְפָרַדִית,spanyol,スペイン語,스페인 사람,hiszpański,Espanhol,испанский,Español,Spanska,ภาษาสเปน,İspanyol
Chinese,,中国人,Chinese,Chinois,chinesisch,סִינִית,kínai,中国語,중국인,chiński,chinês,китайский,Chino,kinesiska,ชาวจีน,Çince
Hebrew,,希伯来语,Hebrew,hébreu,hebräisch,עִברִית,héber,ヘブライ語,헤브라이 사람,hebrajski,hebraico,иврит,hebreo,Hebreiska,ภาษาฮีบรู,İbranice
Hungarian,,匈牙利,Hungarian,hongrois,ungarisch,הוּנגָרִי,magyar,ハンガリー語,헝가리 인,węgierski,húngaro,венгерский,húngaro,Ungerska,ฮังการี,Macarca
Japanese,,日本人,Japanese,japonais,japanisch,יַפָּנִית,japán,日本語,일본어,japoński,japonês,японский,japonés,japanska,ญี่ปุ่น,Japonca
Korean,,韩国人,Korean,coréen,Koreanisch,קוריאנית,koreai,韓国語,한국인,koreański,coreano,корейский,coreano,Koreanska,เกาหลี,Korece
Polish,,抛光,Polish,polonais,Polieren,פּוֹלָנִית,lengyel,研磨,광택,Polski,polonês,польский,Polaco,Polska,ขัด,Lehçe
Portugese,,葡萄牙语,Portugese,Portugais,Portugiesisch,פורטוגזית,portugál,ポルトガル語,포르투갈어,portugalski,Português,португальский,Portugués,Portugisiska,โปรตุเกส,Portekizce
Russian,,俄语,Russian,russe,Russisch,רוּסִי,orosz,ロシア,러시아인,rosyjski,russo,Русский,ruso,Ryska,รัสเซีย,Rusça
Sweedish,,瑞典语,Sweedish,Suédois,Schwedisch,שוודית,svéd,スウェーデン語,스웨덴어,szwedzki,Sueco,шведский,Sueco,Svenska,สวีเดน,İsveççe
Thai,,泰国,Thai,thaïlandais,Thai,תאילנדי,thai,タイ語,태국,tajski,Tailandês,Тайский,tailandés,Thailändsk,แบบไทย,Tayland
Turkish,,土耳其,Turkish,turc,Türkisch,טוּרקִית,török,トルコ語,터키어,turecki,turco,турецкий,turco,turkiska,ตุรกี,Türkçe
login.signup,,报名,Sign Up,S'inscrire,Melden Sie sich an,הרשמה,Regisztráció,サインアップ,회원가입,Zapisać się,Inscrever-se,Зарегистрироваться,Inscribirse,Registrera dig,ลงทะเบียน,Üye olmak
login.username,,用户名,Username,Nom d'utilisateur,Benutzername,שם משתמש,Felhasználónév,ユーザー名,사용자 이름,Nazwa użytkownika,Nome de usuário,Имя пользователя,Nombre de usuario,Användarnamn,ชื่อผู้ใช้,Kullanıcı adı
login.password,,密码,Password,Mot de passe,Passwort,סִיסמָה,Jelszó,パスワード,비밀번호,Hasło,Senha,Пароль,Contraseña,Lösenord,รหัสผ่าน,Şifre
login.alreadyhaveanaccount,,已有账号？,Already have an account?,Vous avez déjà un compte ?,Sie haben bereits ein Konto?,כבר יש לך חשבון?,Már van fiókod?,すでにアカウントをお持ちですか?,이미 계정이 있으신가요?,Masz już konto?,Já tem uma conta?,У вас уже есть аккаунт?,¿Ya tienes una cuenta?,Har du redan ett konto?,มีบัญชีอยู่แล้วใช่ไหม?,Zaten hesabınız var mı?
login.login,,登录,Log in,Se connecter,Einloggen,התחברות,Bejelentkezés,ログイン,로그인,Zaloguj się,Conecte-se,Авторизоваться,Acceso,Logga in,เข้าสู่ระบบ,Giriş yapmak
